,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
26,5.0,3.4,1.6,0.4,0
37,4.9,3.6,1.4,0.1,0
87,6.3,2.3,4.4,1.3,1
16,5.4,3.9,1.3,0.4,0
92,5.8,2.6,4.0,1.2,1
141,6.9,3.1,5.1,2.3,2
18,5.7,3.8,1.7,0.3,0
136,6.3,3.4,5.6,2.4,2
2,4.7,3.2,1.3,0.2,0
69,5.6,2.5,3.9,1.1,1
127,6.1,3.0,4.9,1.8,2
91,6.1,3.0,4.6,1.4,1
112,6.8,3.0,5.5,2.1,2
82,5.8,2.7,3.9,1.2,1
102,7.1,3.0,5.9,2.1,2
143,6.8,3.2,5.9,2.3,2
128,6.4,2.8,5.6,2.1,2
120,6.9,3.2,5.7,2.3,2
146,6.3,2.5,5.0,1.9,2
49,5.0,3.3,1.4,0.2,0
33,5.5,4.2,1.4,0.2,0
133,6.3,2.8,5.1,1.5,2
103,6.3,2.9,5.6,1.8,2
107,7.3,2.9,6.3,1.8,2
77,6.7,3.0,5.0,1.7,1
131,7.9,3.8,6.4,2.0,2
94,5.6,2.7,4.2,1.3,1
145,6.7,3.0,5.2,2.3,2
132,6.4,2.8,5.6,2.2,2
123,6.3,2.7,4.9,1.8,2
42,4.4,3.2,1.3,0.2,0
134,6.1,2.6,5.6,1.4,2
59,5.2,2.7,3.9,1.4,1
60,5.0,2.0,3.5,1.0,1
45,4.8,3.0,1.4,0.3,0
53,5.5,2.3,4.0,1.3,1
46,5.1,3.8,1.6,0.2,0
58,6.6,2.9,4.6,1.3,1
149,5.9,3.0,5.1,1.8,2
130,7.4,2.8,6.1,1.9,2
144,6.7,3.3,5.7,2.5,2
114,5.8,2.8,5.1,2.4,2
5,5.4,3.9,1.7,0.4,0
66,5.6,3.0,4.5,1.5,1
89,5.5,2.5,4.0,1.3,1
72,6.3,2.5,4.9,1.5,1
12,4.8,3.0,1.4,0.1,0
19,5.1,3.8,1.5,0.3,0
135,7.7,3.0,6.1,2.3,2
81,5.5,2.4,3.7,1.0,1
